# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz
9.9999990000000005e-01 1.1751363599628784e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.8500000000000000e+02 3.5626681131967437e-02 7.7057265786042592e-02 4.4708463542047116e-17 -4.8932562543738704e-03 4.0519937386338460e-02 -1.0600703099930133e-02 8.7657968885966484e-02 -6.1557522716080756e-18 5.0864215813652007e-17 1.2254374731302960e+04 1 3 4
9.9999999437658671e-01 1.1740513465154911e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.9500000000000000e+02 3.4654292163391741e-02 7.4871656601455366e-02 -1.2406873048344729e-16 -4.7631629477637187e-03 3.9417455111152265e-02 -1.0308036987066123e-02 8.5179693588516930e-02 1.7079542637349467e-17 -1.4114827312078477e-16 1.4613661688075168e+04 1 3 5
9.9999999968377229e-01 1.1737938111466142e+00 1.5000000000000002e-01 1.0000000000000000e+00 1.0050000000000000e+03 3.4426193446190294e-02 7.4363544189479200e-02 -1.3974034084585795e-16 -4.7332567439477306e-03 3.9159450190135170e-02 -1.0240924829307947e-02 8.4604469018777620e-02 1.9242530986043760e-17 -1.5898287183188757e-16 1.6657967789978953e+04 1 3 6
9.9999999998221722e-01 1.1737327263415920e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.7900000000000000e+02 3.4371503182464298e-02 7.4240275804625486e-02 5.8306603997422747e-17 -4.7250305172343550e-03 3.9096533699695124e-02 -1.0222324494235976e-02 8.4462600298853413e-02 -8.0300804804941765e-18 6.6336684477909656e-17 1.7242860248448094e+04 1 3 7
9.9999999999900002e-01 1.1737182404095907e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.8900000000000000e+02 3.4357908279775799e-02 7.4209747735876325e-02 -4.0584736405232113e-17 -4.7231926872442626e-03 3.9081100967017279e-02 -1.0218187618916498e-02 8.4427935354786585e-02 5.5865463200083998e-18 -4.6171282725237110e-17 1.7692628251030110e+04 1 3 8
9.8999999999999999e-01 1.6187039675174233e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0530000000000000e+03 8.6166662831160409e-02 2.4130140140585291e-01 -4.7839821561202715e-16 -7.6477145400482126e-03 9.3814377371207763e-02 -2.1352015427953609e-02 2.6265341683380344e-01 4.2316597039658566e-17 -5.2071481265167681e-16 2.9937555046705529e+02 1 4 0
9.9943765867480960e-01 1.3198099438213424e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0540000000000000e+03 4.0643474310736831e-02 9.1879059222497436e-02 1.3143216063176505e-16 -4.4199542513151370e-02 8.4843016823887396e-02 -1.0613202904834669e-01 1.9801108827084157e-01 -1.5121053671479236e-16 2.8264269734655285e-16 8.1905351589713246e+02 1 4 1
9.9996837722339826e-01 1.2469145587839414e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0550000000000000e+03 -6.4841965503510346e-01 -1.3849799305999697e+00 2.4602185721533404e-15 -7.0552734465863931e-01 5.7107689623553892e-02 -1.5119238570628777e+00 1.2694392646294397e-01 2.6857162841460495e-15 -2.2549771199277297e-16 3.9246889138948172e+03 1 4 2
9.9999822172058994e-01 1.2292466153494126e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0650000000000000e+03 3.9252171671833286e-02 8.6034070342550228e-02 1.1462040695582053e-16 -5.1257734052888963e-03 4.4377945077119146e-02 -1.1254435622619303e-02 9.7288505965164682e-02 -1.4993920268871947e-17 1.2961432722468501e-16 1.2753989257965935e+04 1 4 3
9.9999990000000005e-01 1.2250276739431687e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0750000000000000e+03 -1.0760160795005293e-01 -2.2067101624834953e-01 -1.9478113891694407e-16 -1.4642479822461288e-01 3.8823190274560201e-02 -3.0469884060917818e-01 8.4027824360836278e-02 -2.6799587399856363e-16 7.3214735081623495e-17 4.2131071596839465e+03 1 4 4
9.9999999437658671e-01 1.2240254285296919e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0850000000000000e+03 -5.2658512746120198e-02 -1.0608154290501759e-01 -1.4132900570509394e-16 -9.1252785337713152e-02 3.8594272591593766e-02 -1.8994124708000371e-01 8.3859704174987462e-02 -2.5305257500108032e-16 1.1172356929599062e-16 1.1534613360310905e+04 1 4 5
